"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","380","","Test DOT SDK","","Test KSM SDK Test KSM Transfer transfer with address 0","","Test KSM SDK Test KSM Transfer transfer with address 0",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","294","","Test DOT SDK","","Test KSM SDK Test KSM Unbond unbond with address 0","","Test KSM SDK Test KSM Unbond unbond with address 0",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","402","","Test DOT SDK","","Test DOT SDK Test Get DOT Address test get index 0 address","","Test DOT SDK Test Get DOT Address test get index 0 address",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","360","","Test DOT SDK","","Test KSM SDK Test Get KSM Address test get index 0 address","","Test KSM SDK Test Get KSM Address test get index 0 address",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","325","","Test DOT SDK","","Test KSM SDK Test KSM Withdraw withdraw with address 0","","Test KSM SDK Test KSM Withdraw withdraw with address 0",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","510","","Test DOT SDK","","Test KSM SDK Test KSM Transfer transfer with address 0 and metadatahash","","Test KSM SDK Test KSM Transfer transfer with address 0 and metadatahash",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","307","","Test DOT SDK","","Test KSM SDK Test KSM Nominate nominate with address 0 and single hash","","Test KSM SDK Test KSM Nominate nominate with address 0 and single hash",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","312","","Test DOT SDK","","Test KSM SDK Test KSM Chill chill with address 0","","Test KSM SDK Test KSM Chill chill with address 0",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","302","","Test DOT SDK","","Test KSM SDK Test KSM Bond bond with address 0","","Test KSM SDK Test KSM Bond bond with address 0",""
"skipped","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","0","","Test DOT SDK","","Test DOT SDK Test DOT Transfer test transfer with address 0","","Test DOT SDK Test DOT Transfer test transfer with address 0",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","489","","Test DOT SDK","","Test KSM SDK Test KSM Nominate nominate with address 0 and double hash","","Test KSM SDK Test KSM Nominate nominate with address 0 and double hash",""
"passed","Mon Nov 03 10:47:46 GMT 2025","Mon Nov 03 10:47:46 GMT 2025","303","","Test DOT SDK","","Test KSM SDK Test KSM BondExtra bond extra with address 0","","Test KSM SDK Test KSM BondExtra bond extra with address 0",""
