"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: no register data","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: no register data",""
"","0","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: not supports repeated execution","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: not supports repeated execution",""
"","0","Test CoolWallet SDK Core Functional Test rlp erc20 execute script","","Fri Feb 13 09:24:20 UTC 2026","skipped","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Test CoolWallet SDK Core Functional Test rlp erc20 execute script",""
"","0","Test CoolWallet SDK Core Backup Test backup","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Test CoolWallet SDK Core Backup Test backup",""
"","0","Test signECDSA should sign eth transaction hash correctly","","Fri Feb 13 09:24:26 UTC 2026","skipped","Fri Feb 13 09:24:26 UTC 2026","","Test signECDSA","Test signECDSA should sign eth transaction hash correctly",""
"","0","Test CoolWallet SDK Core Functional Test algorand","","Fri Feb 13 09:24:20 UTC 2026","skipped","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Test CoolWallet SDK Core Functional Test algorand",""
"","0","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete failed: the appId can't be recognized","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete failed: the appId can't be recognized",""
"","0","Test CoolWallet SDK Core Register Test register success","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Test CoolWallet SDK Core Register Test register success",""
"","0","Test CoolWallet SDK Core Functional Test derive Curve25519 publicKey","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Test CoolWallet SDK Core Functional Test derive Curve25519 publicKey",""
"","0","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds",""
"","0","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover failed: no backup data","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover failed: no backup data",""
"","0","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds with no backup data and supports repeated execution","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds with no backup data and supports repeated execution",""
"","0","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds",""
"","0","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover succeeds","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover succeeds",""
"","0","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds even if the appId can't be recognized","","Fri Feb 13 09:24:20 UTC 2026","failed","Fri Feb 13 09:24:20 UTC 2026","","Test CoolWallet SDK Core Functional","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds even if the appId can't be recognized",""
"","129","utils createSeedsHexByMnemonic","","Fri Feb 13 09:24:27 UTC 2026","passed","Fri Feb 13 09:24:27 UTC 2026","","utils","utils createSeedsHexByMnemonic",""
